iers_name, num_ses, obs_len, mean_epoch, beg_epoch, end_epoch, mean_ra, sigma_ra, mean_dec, sigma_dec
0713-092,   5, 15.8, 2015.03, 2004.35, 2020.14, 108.8891384106, 0.180,  -9.3650764368, 0.192
0714+101,   5,  4.8, 2017.50, 2014.60, 2019.41, 109.3048120038, 0.282, +10.0178542701, 0.347
0714+205,   2,  0.5, 2019.38, 2019.13, 2019.63, 109.4684502596, 0.105, +20.4385935739, 0.015
0714+457, 156, 24.7, 2012.98, 1996.61, 2021.31, 109.4660517597, 0.018, +45.6342391953, 0.016
0716+215,   2,  0.5, 2019.38, 2019.13, 2019.63, 109.7520790968, 0.204, +21.4276321024, 0.220
0716+332,   5, 14.3, 2013.72, 2004.33, 2018.67, 109.8309153035, 0.119, +33.1193634719, 0.188
0716+477,   5, 21.8, 2012.29, 1996.61, 2018.42, 110.0895740087, 0.095, +47.6289235918, 0.116
0716+714, 707, 33.4, 2011.95, 1988.01, 2021.45, 110.4727019916, 0.015, +71.3434342873, 0.004
0716-181,   6, 14.6, 2016.04, 2005.50, 2020.06, 109.5589916171, 0.091, -18.2177932723, 0.351
0717-198,   5,  8.6, 2017.52, 2011.49, 2020.06, 109.8515554473, 0.115, -19.9223608007, 0.247
0717-393,   6,  9.7, 2017.01, 2009.77, 2019.51, 109.9136620992, 0.824, -39.4801934663, 1.876
0718+042,   5, 23.9, 2012.88, 1995.54, 2019.41, 110.3496249024, 0.076,  +4.1122814280, 0.176
0718+157,   5, 13.9, 2015.06, 2005.52, 2019.41, 110.2600568288, 0.049, +15.6786031442, 0.172
0718+277,   2,  1.1, 2019.30, 2018.73, 2019.88, 110.3835905319, 0.025, +27.7035580084, 0.003
0718+374,   5, 23.0, 2013.30, 1996.44, 2019.41, 110.5052487266, 0.105, +37.3746203655, 0.150
0718-154,   5, 11.5, 2016.93, 2008.52, 2020.06, 110.3062144893, 0.102, -15.5113920010, 0.492
0719+255,   3,  1.0, 2019.20, 2018.73, 2019.72, 110.7046965426, 0.120, +25.4765299457, 0.093
0719-353,   5,  4.5, 2017.66, 2014.97, 2019.51, 110.4445492397, 0.548, -35.4714712045, 1.694
0720-305,   6, 17.4, 2014.35, 2002.09, 2019.51, 110.6153972328, 0.290, -30.6346200205, 1.054
0721-071,   7, 16.6, 2015.36, 2002.09, 2018.67, 111.0720526244, 0.034,  -7.2556533939, 0.097
0722+032,   4, 23.9, 2011.82, 1995.54, 2019.41, 111.2017040244, 0.123,  +3.1403029051, 0.137
0722+145, 113, 31.6, 2011.82, 1989.69, 2021.29, 111.3200323557, 0.017, +14.4204852301, 0.016
0722+284,   3,  1.6, 2019.66, 2018.73, 2020.36, 111.4607908462, 0.603, +28.3182822575, 2.556
0723+067,   4, 13.9, 2014.62, 2005.52, 2019.41, 111.6515172450, 0.048,  +6.6119033697, 0.075
0723+219, 133, 15.8, 2015.40, 2004.35, 2020.18, 111.5594197632, 0.019, +21.8889205571, 0.020
0723+488,   5, 22.8, 2013.39, 1996.61, 2019.38, 111.7629192481, 0.116, +48.7361463340, 0.114
0723+679,   5, 13.7, 2015.11, 2005.42, 2019.07, 112.0453985556, 0.289, +67.8130647349, 0.068
0723-008, 189, 39.1, 2011.71, 1981.46, 2020.56, 111.4609996094, 0.028,  -0.9157064865, 0.046
0723-189,   8, 14.2, 2013.42, 2004.33, 2018.51, 111.4590231824, 0.057, -19.0719650815, 0.138
0723-265,   5, 13.5, 2012.31, 2005.36, 2018.88, 111.3517214491, 0.119, -26.6757441138, 0.357
