iers_name, num_ses, obs_len, mean_epoch, beg_epoch, end_epoch, mean_ra, sigma_ra, mean_dec, sigma_dec
0110-361,   2,  7.5, 2013.50, 2009.77, 2017.24,  18.3160684966, 0.179, -35.8634352152, 0.278
0110-668,  13, 13.8, 2009.95, 2004.60, 2018.35,  18.0788039576, 0.693, -66.5792188213, 0.524
0111+021, 292, 33.5, 2006.18, 1987.62, 2021.08,  18.4297706350, 0.025,  +2.3714767539, 0.031
0111+131,   3, 22.3, 2007.43, 1996.20, 2018.51,  18.4771264308, 0.200, +13.4145781797, 0.818
0112+131,   3,  1.0, 2018.14, 2017.60, 2018.57,  18.7198993236,25.948, +13.4270880064,15.148
0112+13A,   1,  0.0, 2017.60, 2017.60, 2017.60,  18.7960835838, 0.000, +13.4128803043, 0.000
0112-017,  37, 29.4, 1998.27, 1988.32, 2017.72,  18.8212497406, 0.096,  -1.4512713833, 0.154
0112-245,   3,  9.6, 2015.01, 2008.96, 2018.57,  18.7388604224, 0.364, -24.3290770125, 0.756
0113+241,   4, 22.6, 2006.35, 1996.00, 2018.61,  19.1586152772, 0.552, +24.3815902114, 0.297
0113-118,  33, 30.9, 2003.72, 1988.04, 2018.89,  19.0521749367, 0.895, -11.6042877571, 2.021
0113-283,   7, 20.9, 2013.67, 1997.65, 2018.57,  18.8495149809, 0.362, -28.0820058984, 0.713
0113-310,   3, 12.9, 2012.18, 2004.33, 2017.24,  18.9437730649, 0.286, -30.8220556935, 0.159
0114+074,   1,  0.0, 2020.23, 2020.23, 2020.23,  19.3590271121, 0.000,  +7.7048432069, 0.000
0114+140,   7, 23.5, 2009.34, 1996.00, 2019.54,  19.3550129414, 0.193, +14.3034501564, 0.171
0114-211,   4,  9.6, 2015.12, 2009.37, 2018.97,  19.2141874281, 8.411, -20.8685791552, 5.073
0115+027,   4,  1.1, 2019.09, 2018.72, 2019.79,  19.5770071574, 0.959,  +2.9682748068, 1.401
0115-214, 314, 22.7, 2014.19, 1997.50, 2020.22,  19.4532505450, 0.128, -21.1851758913, 0.141
0116+082,   2, 12.6, 2008.67, 2002.37, 2014.97,  19.7553094308, 0.412,  +8.4985290174, 1.790
0116+319,   5, 25.8, 2002.25, 1992.97, 2018.72,  19.8958376802, 3.391, +32.1805723040, 0.744
0116-219,  92, 23.5, 2014.01, 1997.50, 2021.04,  19.7385925240, 0.139, -21.6917055989, 0.232
0117-171,   2, 12.8, 2011.92, 2005.50, 2018.35,  19.9318580196, 0.631, -16.9024910225, 3.198
0118+111,   4, 15.2, 2013.97, 2003.82, 2019.06,  20.3708300217, 0.307, +11.4501400097, 0.667
0118-272,  25, 29.6, 2003.22, 1988.96, 2018.58,  20.1319306973, 0.294, -27.0235145491, 0.244
0118-283,   3, 13.2, 2012.97, 2005.36, 2018.58,  20.2530918160, 0.335, -28.1061606229, 0.481
