iers_name, num_ses, obs_len, mean_epoch, beg_epoch, end_epoch, mean_ra, sigma_ra, mean_dec, sigma_dec, med_err_ra, med_err_dec
1542+042,   5, 24.1, 2013.18, 1995.54, 2019.63, 236.2476136718, 0.103,  +4.1295434415, 0.183, 0.123, 0.251
1542+328,   5, 23.1, 2013.25, 1996.37, 2019.44, 236.0235694265, 0.139, +32.6800889452, 0.228, 0.236, 0.360
1542+616,   5, 14.5, 2015.22, 2005.36, 2019.88, 235.7372653007, 0.149, +61.4987073924, 0.099, 0.136, 0.128
1543+005,   5, 24.1, 2013.18, 1995.54, 2019.63, 236.5397143960, 0.058,  +0.4401707318, 0.157, 0.125, 0.235
1543+480,   5, 23.1, 2013.30, 1996.61, 2019.72, 236.2855409791, 0.339, +47.8651845304, 0.292, 0.148, 0.232
1543+517,   5, 24.5, 2009.21, 1994.61, 2019.07, 236.2617654118, 0.086, +51.5835758493, 0.023, 0.114, 0.142
1544+541,   5, 13.6, 2015.11, 2005.52, 2019.07, 236.4326079155, 0.183, +54.0118774207, 0.053, 0.147, 0.145
1544+820,   4,  2.3, 2018.82, 2017.68, 2019.95, 235.0661610061, 2.570, +81.9182729503, 0.252, 2.202, 1.179
1544-095,   6, 14.5, 2015.96, 2005.52, 2020.06, 236.9220239250, 0.078,  -9.7258334561, 0.253, 0.159, 0.395
1544-638,   4,  0.3, 2017.93, 2017.76, 2018.07, 237.1266504580, 1.071, -64.0263338351, 0.476, 1.204, 1.448
1545+210,   5,  5.3, 2016.24, 2013.03, 2018.33, 236.9314073497, 0.212, +20.8712815703, 0.462, 0.271, 0.815
1545+497,   5,  5.2, 2018.43, 2015.21, 2020.36, 236.8380755207,11.514, +49.6182841817, 5.585,11.422,12.482
1545-120,   4,  4.6, 2017.37, 2014.44, 2019.07, 237.0539155887, 0.060, -12.2253666900, 0.298, 0.260, 0.482
1545-226,   8,  1.8, 2018.98, 2018.06, 2019.88, 237.2072890418, 0.094, -22.8506990486, 0.108, 0.295, 0.452
1546+027, 540, 33.6, 2014.49, 1987.83, 2021.42, 237.3726535347, 0.006,  +2.6169897883, 0.009, 0.143, 0.164
1546+600,   1,  0.0, 2020.52, 2020.52, 2020.52, 236.8481849539, 0.000, +59.9169967477, 0.000, 0.108, 0.129
1546-165,   5,  1.5, 2019.06, 2018.44, 2019.95, 237.3333352162, 0.267, -16.6615538643, 0.745, 0.325, 0.812
1546-231,   2,  0.6, 2019.62, 2019.30, 2019.95, 237.2508112345, 0.283, -23.3345986846, 0.567, 0.589, 1.345
1547+507,  30, 29.8, 1999.77, 1987.57, 2017.33, 237.3227856524, 0.051, +50.6349411155, 0.037, 0.211, 0.247
1547-054,   4, 12.9, 2013.93, 2005.55, 2018.42, 237.6243645054, 0.100,  -5.6363935621, 0.161, 0.104, 0.218
1548+056, 342, 39.1, 1998.47, 1981.46, 2020.56, 237.6469551822, 0.016,  +5.4529023071, 0.026, 0.271, 0.521
1548+114,   5, 14.9, 2014.88, 2004.35, 2019.30, 237.6816449350, 0.046, +11.3465152447, 0.073, 0.137, 0.279
1548-177,   7, 15.5, 2016.09, 2004.40, 2019.95, 237.8108263025, 0.040, -17.9173127817, 0.160, 0.121, 0.272
1548-199,   7,  3.3, 2017.98, 2016.61, 2019.95, 237.7355821656, 0.156, -20.0709146431, 0.213, 0.270, 0.646
1549+089,   5, 14.1, 2015.05, 2005.52, 2019.63, 238.0135900672, 0.079,  +8.8464820490, 0.197, 0.161, 0.363
1549-242,   9,  6.8, 2017.65, 2013.28, 2020.06, 238.0230080778, 0.054, -24.4224422825, 0.205, 0.240, 0.598
1549-790,  28, 30.1, 1999.30, 1988.01, 2018.07, 239.2452905900, 0.752, -79.2345227558, 0.167, 0.491, 0.444
1550+582,   5, 24.5, 2012.69, 1994.61, 2019.07, 237.9925326486, 0.089, +58.1123484737, 0.046, 0.106, 0.118
