iers_name, num_cln, num_outl, outl_ra, outl_dec, ra, dec, pmra, pmdec, pmra_err, pmdec_err, pmra_pmdec_cor
1510-089, 430,  61,  29,  49, 228.211,  -9.100,  -0.00228,  +0.00501, 0.00322, 0.00621,-0.20119
1511+238,   5,   0,   0,   0, 228.417,  23.643,  +0.03086,  +0.10132, 0.07384, 0.09008,-0.07572
1511-100,  70,  11,   7,   7, 228.437, -10.200,  +0.01839,  -0.00505, 0.00988, 0.01810,-0.10332
1511-476,  25,   3,   1,   2, 228.667, -47.808,  -0.03155,  -0.04196, 0.03472, 0.09874, 0.16536
1511-558,   8,   1,   0,   1, 228.803, -55.992,  +0.05121,  -0.26073, 0.22205, 0.22557,-0.19986
1514+004,   7,   5,   2,   4, 229.168,   0.251,  +0.00751,  -0.07575, 0.02853, 0.05759,-0.00187
1514+197, 205,  35,  21,  29, 229.237,  19.537,  -0.01742,  -0.02283, 0.00703, 0.01086,-0.06522
1514-241, 269,  24,  13,  15, 229.424, -24.372,  -0.01211,  -0.00027, 0.00506, 0.01141,-0.07310
1519-273,1266, 128,  84,  80, 230.657, -27.503,  +0.00380,  -0.01107, 0.00267, 0.00381,-0.12893
1519-294,  43,  14,  12,   9, 230.606, -29.607,  -0.01860,  -0.00824, 0.02457, 0.03615, 0.11989
1520+319, 266,  24,  19,  15, 230.542,  31.737,  +0.01188,  -0.02477, 0.00780, 0.01090,-0.02383
1520+437, 293,  32,  22,  25, 230.457,  43.611,  +0.00724,  -0.01510, 0.00632, 0.00914,-0.01542
1522+155,  27,   1,   1,   0, 231.173,  15.356,  +0.02858,  -0.05975, 0.01772, 0.03937,-0.21220
1526+670,   8,   0,   0,   0, 231.679,  66.849,  +0.00579,  +0.00672, 0.01800, 0.02227, 0.37405
